frame_num,object,track_id,speed_km_h,distance_m
0,players,1,7.8432553789476165,0.45389209368909816
0,players,2,8.241231614602977,0.4769231258450797
0,players,4,2.0204995049315664,0.11692705468353971
0,players,6,11.455131880846846,0.6629127245860443
0,players,7,0.30525836551301333,0.017665414670891975
0,players,8,8.296364549928484,0.4801136892319724
0,players,9,6.329808549712837,0.3663083651454188
0,players,10,1.9243211152273676,0.11136117564973193
0,players,11,5.35618220163757,0.30996424777995196
0,players,12,6.010980777800107,0.3478576839004692
0,players,14,3.9682592037104243,0.22964462984435327
0,players,17,7.529033819894952,0.43570797568836533
0,players,18,7.6781317810929925,0.444336329924363
0,players,19,6.895231258850475,0.39902958673903216
5,players,2,11.414691663628739,1.137495560082854
5,players,11,6.014261515404051,0.6580117891806494
5,players,4,2.294245522710703,0.24969589280337207
5,players,7,2.0688072856221593,0.13738805851476693
5,players,6,14.164949973128836,1.482643625808778
5,players,10,4.4040168356494105,0.3662232610461098
5,players,1,21.065411220327785,1.672955243013623
5,players,8,2.904196282269513,0.6481806037151618
5,players,14,3.7851143875730178,0.44869060134742145
5,players,18,16.051600667037015,1.3732484055630791
5,players,12,4.799089290001427,0.6255827585533296
5,players,19,0.0,0.39902958673903216
5,players,17,3.7599062086619113,0.6532951405414852
5,players,9,18.771546156753292,1.4526246936612344
10,players,11,4.694154158198634,0.9296642288912185
10,players,4,2.5903194147176936,0.399598636710646
10,players,2,11.54054431402958,1.8053511338114177
10,players,7,9.60820610570338,0.6934185044466754
10,players,10,8.397413274657122,0.8521846774035822
10,players,6,17.270838260644716,2.482113432559051
10,players,12,8.358187141876513,1.1092741440785907
10,players,1,14.951689244241749,2.538215037240576
10,players,14,5.964738359757588,0.7938722193889485
10,players,8,16.529202604353824,1.604731680356008
10,players,18,11.152519666593324,2.018648849231674
10,players,19,11.380000562684591,1.0575944341166128
10,players,17,4.086155272020319,0.8897624595241426
15,players,11,4.649336052622364,1.1987230282327905
15,players,6,19.98014498077968,3.6383718226504675
15,players,4,4.867401135373264,0.6812769431558581
15,players,7,4.960619297312092,0.9804913804485326
15,players,2,12.576199370203902,2.533140449216736
15,players,14,15.517999663842005,1.6919046073427682
15,players,10,3.308328432517758,1.0436388691002116
15,players,12,6.156015652367258,1.4655250498868813
15,players,17,7.615065261014426,1.3304491065735884
15,players,8,8.141167895259647,2.0758640817020524
15,players,1,16.582876544927025,3.4978722447016306
15,players,19,4.815089628529668,1.3362454542861537
20,players,11,9.125237985095193,1.7268039301480216
